routeStationId	latitude	longitude	index
f8726964-4463-4ae2-af8e-61b0686f68b8	12.920292	100.892922	0
5064930b-a65b-4ac0-9853-b4ff924f67dc	12.916822	100.902131	3
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.916753	100.89657	15
fa455ce4-3f00-426e-bd90-4111adfb4dd3	12.94135	100.88717	1
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.92903	100.885129	6
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924301	100.870642	11
25c796ae-8c2a-45e6-ba21-09b30e6788b9	12.942548	100.894719	11
b5d290ec-8baa-4b7a-ad37-921199a973bc	12.924274	100.873094	4
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924691	100.871046	8
f8726964-4463-4ae2-af8e-61b0686f68b8	12.921775	100.892192	5
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.926676	100.877902	3
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.928981	100.881709	1
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.928143	100.884346	9
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.928271	100.888393	4
4c4d9aa0-be42-4ce1-945f-a1fa0a017d5d	12.942785	100.891444	0
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.923911	100.868044	19
1b70c501-0c87-4b9f-a3ec-3af46283dc4c	12.914393	100.900968	4
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924461	100.867271	25
a8b3895c-2f83-436e-92b9-d79d72b2d549	12.924313	100.870813	10
850fb373-2514-4c2e-8055-87bfb52c4bc6	12.929077	100.885026	7
a88cb99a-a15b-42b0-a2bf-d9be23c9e2e9	12.927455	100.877017	4
4d801fbc-bd86-4e85-a1bf-0358b3c4d32e	12.929118	100.888637	7
